infusion,     p12,     Faulty_Prop12-ROR-0-6,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     272.122,     268.495,     221.036,     47.459,     42,     43,     5.262,     1.103,     p1 = (((not System_On) xor (Current_System_Mode > 0)) xor false);,     
infusion,     p12,     Faulty_Prop12-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.448,     9.376,     2.714,     6.662,     6,     6,     0.452,     1.11,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = Flow_Rate_Patient_Bolus));,     
infusion,     p12,     Faulty_Prop12-LOR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     7,     486.246,     484.423,     448.674,     35.749,     33,     33,     13.596,     1.083,     p1 = (((Current_System_Mode > 1) or (Commanded_Flow_Rate = 0)) and (System_On xor (Current_System_Mode < 1)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     761.67,     759.957,     727.875,     32.082,     28,     28,     25.995,     1.145,     p1 = (((not System_On) xor (Current_System_Mode > 0)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p13,     Faulty_Prop13-ROR-2-3,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     10.083,     9.891,     2.727,     7.164,     6,     6,     0.454,     1.194,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     100.559,     98.764,     67.478,     31.286,     28,     28,     2.409,     1.117,     p1 = ((System_On xor (Current_System_Mode < 1)) and ((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode >= 2)));,     
infusion,     p13,     Faulty_Prop13-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     101.178,     99.635,     69.332,     30.303,     28,     28,     2.476,     1.082,     p1 = ((System_On xor (Current_System_Mode < 1)) and ((Commanded_Flow_Rate <= Current_System_Mode) or (Current_System_Mode >= 2)));,     
infusion,     p13,     Faulty_Prop13-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.676,     9.585,     3.017,     6.568,     6,     6,     0.502,     1.094,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-ROR-2-1,     true,    0,    TRUE_FOR_MAX_STEPS,     2,     9.562,     9.487,     2.718,     6.769,     6,     6,     0.453,     1.128,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate = 0));,     
infusion,     p13,     Faulty_Prop13-LOR-0-1,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     160.462,     157.789,     117.07,     40.719,     38,     38,     3.08,     1.071,     p1 = (((Current_System_Mode = 0) xor System_On) and ((Commanded_Flow_Rate = Current_System_Mode) or (Current_System_Mode >= 1)));,     
