infusion,     p12,     Faulty_Prop12-LOR-0--1-ROR-0-7,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     236.339,     235.293,     205.005,     30.288,     21,     21,     9.762,     1.442,     p1 = ((System_On and (Current_System_Mode > 1)) or ((Commanded_Flow_Rate = 0) and (Commanded_Flow_Rate <= Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-ROR-2-0-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     27.256,     27.03,     9.076,     17.954,     11,     11,     0.825,     1.632,     p1 = ((System_On and (Current_System_Mode > 8)) => (Flow_Rate_Patient_Bolus < 0));,     
infusion,     p12,     Faulty_Prop12-LOR-0-0-LOR-0-2,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     359.601,     353.226,     282.582,     70.644,     44,     45,     6.422,     1.569,     p1 = (not ((not System_On) xor (Current_System_Mode = 0)));,     
infusion,     p12,     Faulty_Prop12-ROR-2-0-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     19.727,     19.573,     6.155,     13.418,     9,     9,     0.683,     1.49,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-0-2-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     8,     864.568,     859.623,     794.349,     65.274,     45,     45,     17.652,     1.45,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate = 0)) and (System_On xor (Current_System_Mode = 0)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-0-ROR-0-7,     true,    2,    MINIMAL_EXISTS_UKNOWN,     4,     2638.158,     2631.456,     2557.234,     74.222,     49,     49,     52.188,     1.514,     p1 = (((Current_System_Mode <= 8) and (Current_System_Mode >= 0)) and ((Current_System_Mode < 1) xor System_On));,     
infusion,     p12,     Faulty_Prop12-LOR-0-1-LOR-0-2,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     408.397,     406.511,     367.532,     38.979,     31,     31,     11.855,     1.257,     p1 = (((Commanded_Flow_Rate = 0) and (Current_System_Mode = 0)) xor (System_On and (Commanded_Flow_Rate >= 0)));,     
infusion,     p12,     Faulty_Prop12-LOR-1--1-LOR-3-1,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     47.675,     47.121,     18.313,     28.808,     19,     19,     0.963,     1.516,     p1 = (((Current_System_Mode = 5) xor (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-LOR-0--1-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     5,     448.211,     446.345,     407.4,     38.945,     27,     27,     15.088,     1.442,     p1 = (((not System_On) xor (Current_System_Mode >= 1)) and ((not System_On) => (Commanded_Flow_Rate = Current_System_Mode)));,     
infusion,     p12,     Faulty_Prop12-ROR-2-5-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     22.869,     22.709,     7.66,     15.049,     9,     9,     0.851,     1.672,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-LOR-1-1-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     49.485,     48.872,     18.193,     30.679,     18,     18,     1.01,     1.704,     p1 = (((Current_System_Mode > 8) xor (Current_System_Mode = 5)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-1-2-ROR-3-6,     true,    0,    TRUE_FOR_MAX_STEPS,     4,     33.253,     32.899,     12.085,     20.814,     13,     13,     0.929,     1.601,     p1 = (((Current_System_Mode > 8) xor (Current_System_Mode = 5)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-2--1-ROR-3-0,     true,    0,    TRUE_FOR_MAX_STEPS,     3,     18.424,     18.256,     5.838,     12.418,     8,     8,     0.729,     1.552,     p1 = ((System_On and (Current_System_Mode > 8)) => false);,     
infusion,     p12,     Faulty_Prop12-ROR-0-1-ROR-0-7,     true,    2,    MINIMAL_MAX_LOOP_REACHED,     3,     830.951,     824.785,     752.47,     72.315,     48,     49,     15.676,     1.475,     p1 = (((not System_On) xor (Current_System_Mode > 0)) and ((Current_System_Mode = 0) xor System_On));,     
infusion,     p12,     Faulty_Prop12-LOR-0-2-ROR-0-0,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     509.245,     507.339,     466.562,     40.777,     30,     30,     15.552,     1.359,     p1 = (((Current_System_Mode = 0) xor System_On) and ((Commanded_Flow_Rate = 0) or (Current_System_Mode > 1)));,     
infusion,     p12,     Faulty_Prop12-ROR-0-0-ROR-0-8,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     1494.562,     1488.116,     1414.57,     73.546,     47,     47,     30.097,     1.564,     p1 = (((Commanded_Flow_Rate = 0) or (Current_System_Mode >= 2)) and ((Current_System_Mode = 0) xor System_On));,     
infusion,     p13,     Faulty_Prop13-LOR-0-4-ROR-0-4,     true,    2,    TRUE_FOR_MAX_STEPS,     6,     763.882,     760.325,     701.812,     58.513,     39,     39,     17.995,     1.5,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate <= Current_System_Mode)) xor ((Current_System_Mode > 8) xor (Current_System_Mode = 5)));,     
infusion,     p13,     Faulty_Prop13-ROR-0-0-ROR-0-6,     true,    2,    TRUE_FOR_MAX_STEPS,     4,     851.177,     844.603,     771.01,     73.593,     51,     51,     15.117,     1.443,     p1 = (((Current_System_Mode <= 8) xor (Current_System_Mode = 5)) and ((not System_On) xor (Current_System_Mode > 0)));,     
infusion,     p13,     Faulty_Prop13-ROR-2-3-ROR-3-4,     true,    0,    TRUE_FOR_MAX_STEPS,     8,     23.011,     22.863,     7.456,     15.407,     13,     13,     0.573,     1.185,     p1 = ((System_On and (Current_System_Mode < 2)) => (Commanded_Flow_Rate < 1));,     
infusion,     p13,     Faulty_Prop13-ROR-2-1-ROR-3-8,     true,    0,    TRUE_FOR_MAX_STEPS,     257,     491.961,     488.149,     153.262,     334.887,     259,     259,     0.591,     1.293,     p1 = ((System_On and (Current_System_Mode > 8)) => (Commanded_Flow_Rate > 255));,     
infusion,     p13,     Faulty_Prop13-LOR-0-2-ROR-0-5,     true,    2,    TRUE_FOR_MAX_STEPS,     3,     185.473,     183.914,     143.951,     39.963,     22,     22,     6.543,     1.816,     p1 = (((Current_System_Mode >= 2) or (Commanded_Flow_Rate <= Current_System_Mode)) and ((not System_On) xor (Current_System_Mode > 0)));,     
